Date/Time,OA_DB,Site Horizontal Infrared Radiation Rate per Area,Site Diffuse Solar Radiation Rate per Area,Site Direct Solar Radiation Rate per Area,Electric Equipment Electricity Rate,People Occupant Count,Site Outdoor Air Wetbulb Temperature,Site Outdoor Air Humidity Ratio
 01/08  11:00:00,-12.8,190.125,96.0625,691.5,0,0,-14.27825282,0.000556855
 01/08  12:00:00,-12.2,194.5,127.9375,664.8125,0,0,-13.77213417,0.00057488
 01/08  13:00:00,-10.6,197.875,96.25,721.9375,0,0,-12.42632154,0.000634785
 01/08  14:00:00,-10,200.25,73.9375,732.1875,0,0,-11.97163456,0.000638344
 01/08  15:00:00,-9.4,199.75,45.8125,703.8125,0,0,-11.45495232,0.00067389
 01/08  16:00:00,-9.4,199.625,30.8125,482.6875,0,0,-11.31637626,0.000742093
 01/08  17:00:00,-10,201.875,7.8125,83.625,0,0,-11.67289179,0.0007837
 01/08  18:00:00,-10,201.125,0,0,0,0,-11.54056786,0.000848603
 01/08  19:00:00,-10,200,0,0,0,0,-11.54169765,0.000849444
 01/08  20:00:00,-9.4,201.25,0,0,0,0,-11.0746881,0.000862022
 01/08  21:00:00,-8.9,205.125,0,0,0,0,-10.7046127,0.000866425
 01/08  22:00:00,-8.9,204.5,0,0,0,0,-10.70721536,0.000868148
 01/08  23:00:00,-8.3,204.875,0,0,0,0,-10.17962801,0.000915196
 01/08  24:00:00,-8.9,204.125,0,0,0,0,-10.70851957,0.000869012
 01/09  01:00:00,-8.9,204.25,0,0,0,0,-10.34889256,0.001047703
 01/09  02:00:00,-8.9,205,0,0,0,0,-10.45798193,0.000995337
 01/09  03:00:00,-8.3,206.875,0,0,0,0,-9.695363737,0.001161924
 01/09  04:00:00,-8.3,208,0,0,0,0,-9.69635013,0.001163084
 01/09  05:00:00,-8.3,208,0,0,0,0,-9.698326497,0.001165413
 01/09  06:00:00,-8.3,208,0,0,0,0,-9.699316479,0.00116658
 01/09  07:00:00,-7.8,209.25,0,0,0,0,-9.360970755,0.001159748
 01/09  08:00:00,-7.8,210,21,39,224,2.3333345,-9.360970755,0.001159748
 01/09  09:00:00,-5.6,220,71.9375,166.1875,224,8.458338,-7.79364506,0.001190308
 01/09  10:00:00,-3.9,232.25,142.9375,224.875,0,1.45833345,-6.425703813,0.001321326
 01/09  11:00:00,-2.8,242.25,197,212.5,224,2.625,-5.438371862,0.001483473
 01/09  12:00:00,-0.6,249.125,188.5625,320.1875,0,0.875,-3.696706959,0.001711802
 01/09  13:00:00,0.6,252.25,197.9375,336.4375,224,10.5,-2.650956713,0.001923303
 01/09  14:00:00,1.7,255.5,150.5,318.125,0,8.166669,-2.047562296,0.001910143
 01/09  15:00:00,1.7,253.25,93.375,347.6875,0,0,-1.909171937,0.001997246
 01/09  16:00:00,1.7,253.5,51.25,174.6875,0,0,-1.773383106,0.002086482
 01/09  17:00:00,0,249.375,9.25,15.0625,0,0,-2.759901457,0.002076137
 01/09  18:00:00,0,247.875,0,0,0,0,-2.634519696,0.002153298
 01/09  19:00:00,0,253.375,0,0,0,0,-2.634519696,0.002153298
 01/09  20:00:00,1.1,268.5,0,0,0,0,-1.854290819,0.002248882
 01/09  21:00:00,0.6,279.75,0,0,0,0,-1.943696485,0.002370524
 01/09  22:00:00,0,281.375,0,0,0,0,-1.952740235,0.002575413
 01/09  23:00:00,-0.6,279.75,0,0,0,0,-2.199778329,0.002634147
 01/09  24:00:00,-1.1,278.375,0,0,0,0,-2.319321504,0.002741068
 01/10  01:00:00,-1.1,278,0,0,0,0,-2.093943831,0.002882287
 01/10  02:00:00,-1.1,273,0,0,0,0,-2.093374193,0.002879371
 01/10  03:00:00,-0.6,268.125,0,0,0,0,-1.617989692,0.002998733
 01/10  04:00:00,0,268.875,0,0,0,0,-1.226933846,0.003035863
 01/10  05:00:00,0,266.875,0,0,0,0,-1.226249662,0.003032797
 01/10  06:00:00,-1.7,250.625,0,0,0,0,-2.878876176,0.002593896
 01/10  07:00:00,-2.8,242,0,0,224,5.833338,-3.553746438,0.002575295
 01/10  08:00:00,-2.8,237,17.8125,118.875,224,5.833338,-3.7571897,0.002451161
 01/10  09:00:00,-1.1,237.75,48.8125,442.5,224,2.041669,-2.483000609,0.002614026
 01/10  10:00:00,0,241.875,68.375,634.75,0,1.7500035,-1.944958761,0.002557311
 01/10  11:00:00,1.1,246.125,81.25,727.0625,0,0,-1.190747212,0.002645699
 01/10  12:00:00,1.7,249.25,86.625,758.3125,0,0,-0.814731326,0.002676005
 01/10  13:00:00,2.2,251.25,85.6875,754.9375,224,3.5,-0.599379022,0.002639041
 01/10  14:00:00,1.7,250.75,77.8125,708.75,0,3.5,-0.814731326,0.002676005
 01/10  15:00:00,1.7,250,62.9375,591.6875,0,0,-1.014286544,0.002545991
 01/10  16:00:00,0.6,247.5,40.875,356.375,0,0,-1.61585162,0.002551585
 01/10  17:00:00,-1.1,241.625,9.8125,48.375,0,0,-2.824388366,0.002404095
 01/10  18:00:00,-2.8,235.25,0,0,0,0,-3.910279842,0.002357663
 01/10  19:00:00,-4.4,229.25,0,0,0,0,-5.089707635,0.002243639
 01/10  20:00:00,-5,225.75,0,0,0,0,-5.532634316,0.002209045
 01/10  21:00:00,-6.1,222.5,0,0,0,0,-6.432378196,0.002101027
 01/10  22:00:00,-4.4,247.25,0,0,0,0,-4.76632834,0.002431571
 01/10  23:00:00,-5,261.125,0,0,0,0,-5.354179434,0.002309829
 01/10  24:00:00,-5.6,258.75,0,0,0,0,-5.770799278,0.002291725
 01/11  01:00:00,-4.4,261.75,0,0,0,0,-4.582778792,0.002540276
 01/11  02:00:00,-3.3,267.125,0,0,0,0,-3.494053309,0.002789568
 01/11  03:00:00,-2.8,270.875,0,0,0,0,-2.999497133,0.002915999
 01/11  04:00:00,-2.8,272,0,0,0,0,-2.800000253,0.003038092
 01/11  05:00:00,-3.3,270.75,0,0,0,0,-3.300000954,0.002915147
 01/11  06:00:00,-3.3,269.375,0,0,0,0,-3.689981543,0.00268093
 01/11  07:00:00,-3.9,267.125,0,0,112,1.75,-4.088329593,0.002661657
 01/11  08:00:00,-3.9,266,16.6875,2.25,0,5.25,-4.277743608,0.0025503
 01/11  09:00:00,-3.3,267.875,68.1875,18.6875,0,0,-3.690454301,0.002686353
 01/11  10:00:00,-2.2,267.125,130.4375,90.9375,0,0,-2.770302295,0.002851221
 01/11  11:00:00,-1.1,265.375,134.5,232.5,0,0,-1.925997471,0.002988243
 01/11  12:00:00,0,261.25,140.6875,470.8125,224,5.25,-1.050223628,0.003161322
 01/11  13:00:00,2.2,262.75,138.875,526.3125,224,9.9166655,0.475010609,0.003301736
 01/11  14:00:00,3.9,267.5,101.5625,583.25,0,6.1249965,1.470742691,0.003319689
 01/11  15:00:00,4.4,268.375,52.625,613.9375,0,0,1.916791834,0.003442477
 01/11  16:00:00,3.3,263,29.9375,448.875,0,0,1.48747363,0.003578865
 01/11  17:00:00,2.2,256.875,8.125,84.6875,0,0,0.864063179,0.003581949
 01/11  18:00:00,2.2,255.625,0,0,0,0,1.057357498,0.003722576
 01/11  19:00:00,2.8,257.25,0,0,0,0,1.427656692,0.003742977
 01/11  20:00:00,2.8,258,0,0,0,0,1.426862994,0.003746796
 01/11  21:00:00,3.3,259.25,0,0,0,0,1.690834143,0.003738242
 01/11  22:00:00,2.2,257.5,0,0,0,0,1.056025095,0.00373018
 01/11  23:00:00,1.7,254.75,0,0,0,0,0.581086591,0.003598435
 01/11  24:00:00,1.1,252.125,0,0,0,0,0.010240766,0.003449353
 01/12  01:00:00,1.1,250.375,0,0,0,0,-0.253157719,0.003322483
 01/12  02:00:00,1.7,251.25,0,0,0,0,0.007401816,0.003204722
 01/12  03:00:00,3.3,255.125,0,0,0,0,0.360487182,0.002802333
 01/12  04:00:00,3.9,257.625,0,0,0,0,0.587532416,0.002717959
 01/12  05:00:00,3.3,257.375,0,0,0,0,0.35873744,0.002805196
 01/12  06:00:00,2.2,253.25,0,0,0,0,-0.763654355,0.002593485
 01/12  07:00:00,1.7,250.375,0,0,224,2.0416655,-1.040004979,0.002590204
 01/12  08:00:00,1.1,248.125,21.9375,69.9375,0,6.1249965,-1.342817745,0.002607185
 01/12  09:00:00,2.8,264.5,64.4375,109.3125,0,0,-0.271685885,0.00270713
 01/12  10:00:00,2.8,286.25,81.9375,10.375,0,0,-0.271685885,0.00270713
 01/12  11:00:00,2.8,293.625,123.125,4,0,0,0.062590823,0.002802545
 01/12  12:00:00,2.8,293.375,156.3125,1.25,224,9.6250035,-0.271685885,0.00270713
 01/12  13:00:00,2.8,293.625,168.5625,1.5625,224,6.416669,0.06423321,0.002799684
 01/12  14:00:00,3.3,295.25,157.25,4,0,3.2083345,0.360487182,0.002802333
 01/12  15:00:00,2.2,294.75,106.8125,4.5625,224,0.2916655,0.469895273,0.003318586
 01/12  16:00:00,1.7,292.125,52.875,2.5625,44.8,1.5749965,0.009327222,0.003198188
 01/12  17:00:00,0.6,288.5,8.875,0.1875,0,0.7,-0.51145183,0.003312959
 01/12  18:00:00,-0.6,281.375,0,0,0,0,-2.379415421,0.002531625
 01/12  19:00:00,-3.3,271.125,0,0,224,1.166662,-4.235681648,0.00236633
 01/12  20:00:00,-5,258.875,0,0,224,1.166662,-6.954618631,0.001437725
 01/12  21:00:00,-6.1,229.625,0,0,0,0.8749965,-8.016234021,0.001260667
 01/12  22:00:00,-6.7,213.75,0,0,0,0,-8.587754056,0.001173884
 01/12  23:00:00,-7.2,211.75,0,0,0,0,-8.906694271,0.001185338
 01/12  24:00:00,-9.4,206,0,0,0,0,-10.81010103,0.001010485
 01/13  01:00:00,-9.4,203.625,0,0,0,0,-10.7044061,0.001060888
 01/13  02:00:00,-9.4,216.5,0,0,0,0,-10.63476472,0.00109517
 01/13  03:00:00,-10,222.75,0,0,0,0,-11.0863834,0.001087152
 01/13  04:00:00,-10,222,0,0,0,0,-11.18560627,0.001037351
 01/13  05:00:00,-11.1,212.625,0,0,0,0,-12.01504156,0.001028601
 01/13  06:00:00,-11.1,201.375,0,0,0,0,-12.10678595,0.000983462
 01/13  07:00:00,-11.1,198,0,0,224,2.625,-12.19939237,0.00093936
 01/13  08:00:00,-11.1,198,21,88.6875,224,3.5,-12.19856977,0.00093842
 01/13  09:00:00,-10,199.875,56.3125,378.5625,0,0.875,-11.28395868,0.000986669
 01/13  10:00:00,-8.3,204.75,75.8125,586.0625,0,0,-9.923495798,0.00105244
 01/13  11:00:00,-7.2,209.5,90.875,680.25,224,0.8749965,-8.900769785,0.001179406
 01/13  12:00:00,-6.1,213.5,103.125,697,224,2.9166655,-8.009717909,0.001254345
 01/13  13:00:00,-5,220.625,136.75,530.6875,224,4.3749965,-7.134821166,0.001329905
 01/13  14:00:00,-6.1,230.25,192.1875,183.625,0,1.1666655,-7.923998113,0.001301358
 01/13  15:00:00,-6.1,229.625,109.125,242.5,0,0,-8.01362144,0.00125813
 01/13  16:00:00,-7.2,237.625,28.75,22,0,0,-8.906694271,0.001185338
 01/13  17:00:00,-8.3,241.5,5.5625,0.625,0,0,-9.704290616,0.001172454
 01/13  18:00:00,-8.3,240.625,0,0,0,0,-9.480170476,0.001287448
 01/13  19:00:00,-8.9,239.75,0,0,0,0,-9.92769595,0.001275213
 01/13  20:00:00,-7.2,244,0,0,0,0,-8.345958601,0.001483136
 01/13  21:00:00,-7.2,247,0,0,0,0,-8.346750258,0.001484636
